,code_player,dreamteam_count,form,in_dreamteam,now_cost,photo,points_per_game,selected_by_percent,status,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,full_name,id_player,club_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,singular_name,squad_select,squad_min_play,squad_max_play,event_next_first,team,team_h_difficulty_next_first,team_a_difficulty_next_first,h_a_next_first,next_1,event_next_second,team_h_difficulty_next_second,team_a_difficulty_next_second,h_a_next_second,next_2,event_third,team_h_difficulty_third,team_a_difficulty_third,h_a_third,next_3,points_by_diff
100,131897,0,0.0,False,4.5,131897,0.0,0.0,u,0,0,0,672,7,0.0,0.0,Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,494,61,485,47,456,43,498,61,Mathew Ryan,4,Brighton,3,1140,1180,1140,1180,1090,1130,Goalkeeper,2,1,1,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
101,215059,0,3.8,False,4.6,215059,3.6,24.2,a,25,739186,20831,599002,31011,0.8,5.4,Sánchez,630,0,0,3,5,0,0,0,2,0,13,1,134,118.4,20.0,0.0,13.8,83,15,246,1,526,50,218,15,Robert Sánchez,4,Brighton,3,1140,1180,1140,1180,1090,1130,Goalkeeper,2,1,1,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.8
102,240514,0,0.0,False,4.5,240514,0.0,0.0,a,0,1408,94,2044,106,0.0,0.0,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,524,64,515,51,491,47,527,64,Kjell Scherpen,4,Brighton,3,1140,1180,1140,1180,1090,1130,Goalkeeper,2,1,1,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
103,39155,0,2.2,False,5.4,39155,2.0,0.2,a,14,8891,807,15252,558,0.4,2.6,Lallana,542,0,0,3,4,0,0,0,1,0,0,0,80,52.0,29.2,53.0,13.5,247,99,211,122,143,75,221,103,Adam Lallana,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.0
104,60307,0,1.2,False,6.0,60307,3.8,0.4,a,19,51574,875,69882,880,0.2,3.2,Groß,443,0,2,2,4,0,0,0,0,0,0,1,101,108.4,231.2,72.0,41.2,108,37,8,4,107,58,39,26,Pascal Groß,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.9
105,66242,0,0.0,False,4.5,66242,0.0,0.0,u,0,0,0,59,0,0.0,0.0,Pröpper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,487,186,479,190,450,177,492,188,Davy Pröpper,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
106,109345,0,1.0,False,5.3,109345,1.6,0.1,a,8,2458,79,6669,142,0.2,1.5,March,255,0,0,1,2,0,0,0,1,0,0,0,29,48.2,86.8,57.0,19.2,256,101,90,56,133,71,157,78,Solomon March,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.8
107,116216,1,5.0,False,6.4,116216,3.9,1.3,a,27,98662,9887,96640,4625,0.8,4.2,Trossard,596,1,1,3,5,0,0,0,1,0,0,3,90,111.6,157.8,200.0,46.9,102,33,31,21,34,19,28,19,Leandro Trossard,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.95
108,165210,0,0.0,False,5.5,165210,0.0,0.0,u,0,0,0,89,0,0.0,0.0,Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,599,242,596,243,592,240,599,242,Alireza Jahanbakhsh,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
109,227127,0,1.2,False,4.6,227127,3.2,13.5,d,16,930461,2979,823013,69048,0.3,3.5,Bissouma,438,0,1,2,4,0,0,0,1,0,0,2,84,85.2,29.2,27.0,14.2,156,59,210,121,219,115,214,99,Yves Bissouma,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.6
